"product_id","store_id","city_id","total_sales","total_revenue","average_price"
"P0001","S0002","C007","0","0","6.25"
"P0001","S0012","C005","1","5.3","6.25"
"P0001","S0013","C026","2","10.59","6.25"
"P0001","S0023","C008","0","0","6.25"
"P0001","S0025","C024","0","0","6.25"
"P0001","S0027","C022","0","0","6.25"
"P0001","S0040","C017","0","0","6.25"
"P0001","S0049","C031","0","0","6.25"
"P0001","S0050","C014","0","0","6.25"
"P0001","S0051","C027","0","0","6.25"
"P0001","S0055","C014","0","0","6.25"
"P0001","S0056","C015","1","5.3","6.25"
"P0001","S0062","C014","0","0","6.25"
"P0001","S0063","C033","0","0","6.25"
"P0001","S0066","C033","0","0","6.25"
"P0001","S0078","C036","0","0","6.25"
"P0001","S0082","C024","0","0","6.25"
"P0001","S0083","C010","0","0","6.25"
"P0001","S0087","C031","0","0","6.25"
"P0001","S0094","C006","0","0","6.25"
"P0001","S0096","C029","0","0","6.25"
"P0001","S0102","C018","0","0","6.25"
"P0001","S0103","C022","1","5.3","6.25"
"P0001","S0104","C002","1","5.3","6.25"
"P0001","S0105","C032","0","0","6.25"
"P0001","S0106","C031","1","5.3","6.25"
"P0001","S0107","C014","0","0","6.25"
"P0001","S0108","C016","0","0","6.25"
"P0001","S0110","C025","0","0","6.25"
"P0001","S0115","C020","0","0","6.25"
"P0001","S0122","C008","0","0","6.25"
"P0001","S0125","C022","0","0","6.25"
"P0001","S0131","C012","0","0","6.25"
"P0001","S0132","C011","0","0","6.25"
"P0001","S0142","C006","0","0","6.25"
"P0004","S0006","C024","1","3.81","4.5"
"P0004","S0019","C030","0","0","4.5"
"P0004","S0038","C004","0","0","4.5"
"P0004","S0044","C022","1","3.81","4.5"
"P0004","S0085","C014","1","3.81","4.5"
"P0005","S0001","C031","0","0","33.9"
"P0005","S0002","C007","0","0","33.9"
"P0005","S0008","C024","0","0","33.9"
"P0005","S0012","C005","0","0","33.9"
"P0005","S0013","C026","0","0","33.9"
"P0005","S0020","C014","0","0","33.9"
"P0005","S0023","C008","0","0","33.9"
"P0005","S0024","C022","0","0","33.9"
"P0005","S0026","C014","0","0","33.9"
"P0005","S0031","C036","0","0","33.9"
"P0005","S0038","C004","0","0","33.9"
"P0005","S0040","C017","0","0","33.9"
"P0005","S0043","C025","0","0","33.9"
"P0005","S0050","C014","0","0","33.9"
"P0005","S0051","C027","0","0","33.9"
"P0005","S0056","C015","0","0","33.9"
"P0005","S0065","C036","0","0","33.9"
"P0005","S0066","C033","1","28.73","33.9"
"P0005","S0085","C014","0","0","33.9"
"P0005","S0087","C031","0","0","33.9"
"P0005","S0097","C014","0","0","33.9"
"P0005","S0102","C018","0","0","33.9"
"P0005","S0104","C002","0","0","33.9"
"P0005","S0108","C016","0","0","33.9"
"P0005","S0110","C025","0","0","33.9"
"P0005","S0113","C024","0","0","33.9"
"P0005","S0132","C011","0","0","33.9"
"P0005","S0138","C022","0","0","33.9"
"P0005","S0142","C006","0","0","33.9"
"P0011","S0001","C031","0","0","49.9"
"P0011","S0002","C007","0","0","49.9"
"P0011","S0013","C026","0","0","49.9"
"P0011","S0038","C004","0","0","49.9"
"P0011","S0040","C017","0","0","49.9"
"P0011","S0043","C025","0","0","49.9"
"P0011","S0056","C015","0","0","49.9"
"P0011","S0066","C033","0","0","49.9"
"P0011","S0085","C014","0","0","49.9"
"P0011","S0094","C006","0","0","49.9"
"P0011","S0104","C002","0","0","49.9"
"P0011","S0108","C016","0","0","49.9"
"P0011","S0115","C020","0","0","49.9"
"P0011","S0132","C011","0","0","49.9"
"P0014","S0085","C014","0","0","59.99"
"P0014","S0097","C014","0","0","59.99"
"P0015","S0001","C031","1","2.41","2.6"
"P0015","S0002","C007","1","2.41","2.6"
"P0015","S0003","C014","1","2.41","2.6"
"P0015","S0004","C022","0","0","2.6"
"P0015","S0008","C024","0","0","2.6"
"P0015","S0009","C020","0","0","2.6"
"P0015","S0011","C031","0","0","2.6"
"P0015","S0012","C005","0","0","2.6"
"P0015","S0013","C026","0","0","2.6"
"P0015","S0014","C014","2","4.81","2.6"
"P0015","S0016","C014","0","0","2.6"
"P0015","S0020","C014","0","0","2.6"
"P0015","S0021","C024","0","0","2.6"
"P0015","S0023","C008","0","0","2.6"
"P0015","S0024","C022","0","0","2.6"
"P0015","S0026","C014","1","2.41","2.6"
"P0015","S0030","C006","0","0","2.6"
"P0015","S0031","C036","0","0","2.6"
"P0015","S0032","C019","1","2.41","2.6"
"P0015","S0033","C025","0","0","2.6"
"P0015","S0034","C022","0","0","2.6"
"P0015","S0035","C022","1","2.41","2.6"
"P0015","S0038","C004","0","0","2.6"
