"hierarchy1_id","hierarchy2_id","total_sales"
"H00","H0000","1380"
"H00","H0001","617"
"H00","H0002","849"
"H00","H0003","4268"
"H00","H0004","613.366"
"H00",NULL,"7727.366000000001"
"H01","H0105","175"
"H01","H0106","166"
"H01","H0107","374"
"H01","H0108","172"
"H01",NULL,"887"
"H02","H0209","43.209999999999994"
"H02","H0210","182.30500000000004"
"H02",NULL,"225.51500000000001"
"H03","H0311","17"
"H03","H0312","222"
"H03","H0313","581"
"H03","H0314","190"
"H03","H0315","5"
"H03","H0316","0"
"H03","H0317","2"
"H03",NULL,"1017"
NULL,NULL,"9856.880999999998"
