"city_id","month_of_sale","total_sales"
"C002","2017-02","100"
"C002","2017-03","59"
"C002",NULL,"159"
"C003","2017-02","32.84"
"C003","2017-03","14"
"C003",NULL,"46.84"
"C004","2017-02","223.49"
"C004","2017-03","110.208"
"C004",NULL,"333.69800000000004"
"C005","2017-02","54"
"C005","2017-03","35"
"C005",NULL,"89"
"C006","2017-02","124"
"C006","2017-03","29"
"C006",NULL,"153"
"C007","2017-02","73.965"
"C007","2017-03","28"
"C007",NULL,"101.965"
"C008","2017-02","117.855"
"C008","2017-03","60"
"C008",NULL,"177.85500000000002"
"C009","2017-02","21"
"C009","2017-03","5"
"C009",NULL,"26"
"C010","2017-02","26"
"C010","2017-03","10"
"C010",NULL,"36"
"C011","2017-02","54.97"
"C011","2017-03","23"
"C011",NULL,"77.97"
"C012","2017-02","39"
"C012","2017-03","23"
"C012",NULL,"62"
"C013","2017-02","37"
"C013","2017-03","16"
"C013",NULL,"53"
"C014","2017-02","2651.2380000000003"
"C014","2017-03","1001.638"
"C014",NULL,"3652.876"
"C015","2017-02","88.5"
"C015","2017-03","51.518"
"C015",NULL,"140.018"
"C016","2017-02","60"
"C016","2017-03","30"
"C016",NULL,"90"
"C017","2017-02","83"
"C017","2017-03","44"
"C017",NULL,"127"
"C018","2017-02","35"
"C018","2017-03","23"
"C018",NULL,"58"
"C019","2017-02","42"
"C019","2017-03","17"
"C019",NULL,"59"
"C020","2017-02","83.99000000000001"
"C020","2017-03","45"
"C020",NULL,"128.99"
"C021","2017-02","61.53"
"C021","2017-03","22.555"
"C021",NULL,"84.08500000000001"
"C022","2017-02","921.1300000000001"
"C022","2017-03","475"
"C022",NULL,"1396.13"
"C024","2017-02","236"
"C024","2017-03","113"
"C024",NULL,"349"
"C025","2017-02","186.18"
"C025","2017-03","103"
"C025",NULL,"289.18"
"C026","2017-02","65"
"C026","2017-03","27"
"C026",NULL,"92"
"C027","2017-02","67"
"C027","2017-03","32"
"C027",NULL,"99"
"C029","2017-02","133"
"C029","2017-03","92"
"C029",NULL,"225"
"C030","2017-02","82"
"C030","2017-03","31"
"C030",NULL,"113"
"C031","2017-02","627.6949999999999"
"C031","2017-03","280"
"C031",NULL,"907.6949999999999"
"C032","2017-02","49"
"C032","2017-03","15"
"C032",NULL,"64"
"C033","2017-02","39"
"C033","2017-03","33"
"C033",NULL,"72"
"C035","2017-02","62.294000000000004"
"C035","2017-03","22"
"C035",NULL,"84.29400000000001"
"C036","2017-02","328.28499999999997"
"C036","2017-03","166"
"C036",NULL,"494.28499999999997"
"C037","2017-02","12"
"C037","2017-03","3"
"C037",NULL,"15"
NULL,"2017-02","6817.962"
NULL,"2017-03","3038.919"
NULL,NULL,"9856.880999999998"
